transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,Max_Active_Power,Max_Apparent_Power
TR_519b8abe,ES00070,ES00071,220,400,623.663341688946,624.7198217225906
TR_2ba8192a,ES00123,ES00124,220,400,275.1750889146782,296.18011683074997
TR_72a9d275,ES00125,ES00126,220,400,719.0070700556007,719.871062680843
TR_3d4e3db8,ES00546,ES00547,220,400,209.2112526903748,216.51663377079413
TR_10cbc112,ES00478,ES00479,220,400,244.28132250023904,310.2660304343421
TR_e96aa377,ES00057,ES00058,220,400,1580.0422627841347,1608.6286009985972
TR_0490c2aa,ES00109,ES00110,220,400,187.94089199556305,188.2182954703745
TR_1f77d9ec,ES00325,ES00326,220,400,517.7594367480588,557.4470184683144
TR_b8345e3b,ES00329,ES00330,220,400,226.41515380260805,226.4186101817789
TR_86c7bc47,ES00245,ES00246,220,400,1115.7181775526055,1201.0748364966162
TR_26503a3b,ES00164,ES00165,220,400,188.7689085685036,198.54975070147302
TR_b0d59f98,ES00156,ES00157,220,400,78.34662290237453,78.34662496627242
TR_3cdb5cac,ES00162,ES00163,220,400,206.1306042340109,207.05581731958472
TR_f3d46ea1,ES00175,ES00176,220,400,2.358506020970441,5.51737363692993
TR_d061a070,ES00650,ES00651,220,400,761.9118130621911,769.3592384928932
TR_0e0d82af,ES00127,ES00128,220,400,2048.528845688857,2144.6289456131144
TR_031c515e,ES00408,ES00409,220,400,310.7582161297423,313.7486827208062
TR_e2759977,ES00129,ES00130,220,400,38.37554799658557,40.49142188697675
TR_ec3a7de9,ES00034,ES00035,220,400,472.15135958668776,473.0513848014658
TR_30aa9055,ES00173,ES00174,220,400,61.500273770729926,85.439799243012
TR_82ae89fc,ES00558,ES00559,220,400,290.3237029861135,345.3478309251705
TR_a6bded06,ES00008,ES00009,220,400,601.3092355935622,627.2378394229515
TR_df0161bf,ES00006,ES00007,220,400,25.42908698444224,27.315203231983215
TR_39a719b5,ES00826,ES00827,132,220,7.117805924317787,7.944651847706548
TR_b44ed123,ES00824,ES00825,132,220,10.327239925327055,10.327718826704096
